sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
027,1,1,csp,12a.png,1,1,152,148,-4,152,1,1,387,3000,pos_feedback_onset,1,79083,csm,4500
027,1,1,csm,3b.png,1,1,196,210,14,196,1,1,453,5307,neu_feedback_onset,2,94428,csp,3000
027,1,1,csp,32a.png,1,1,208,36,-172,209,1,0,472,3461,neg_feedback_onset,3,111995,csm,5307
027,1,1,csp,20a.png,1,1,32,320,-72,32,1,1,372,3230,pos_feedback_onset,4,128127,csp,3461
027,1,1,csm,23b.png,1,1,344,222,-122,346,1,1,331,4384,neu_feedback_onset,5,144091,csp,3230
027,1,1,csp,51a.png,1,1,116,310,-166,117,1,1,306,4153,pos_feedback_onset,6,159805,csm,4384
027,1,1,csp,11a.png,1,1,188,141,-47,189,1,1,397,5538,pos_feedback_onset,7,177373,csp,4153
027,1,1,csm,7b.png,1,1,192,37,-155,193,1,1,347,5769,neu_feedback_onset,8,195090,csp,5538
027,1,1,csm,30b.png,1,1,312,230,-82,311,1,1,554,4615,neu_feedback_onset,9,212524,csm,5769
027,1,1,csm,44b.png,1,0,248,90,-158,248,1,1,408,3692,neu_feedback_onset,10,230192,csm,4615
027,1,1,csm,48b.png,1,1,160,303,143,160,1,1,272,6000,neu_feedback_onset,11,246657,csm,3692
027,1,1,csp,5a.png,1,1,28,48,20,28,1,1,331,3923,pos_feedback_onset,12,264775,csm,6000
027,1,1,csm,59b.png,1,1,72,145,73,71,1,1,644,5076,neu_feedback_onset,13,282193,csp,3923
027,1,1,csp,44a.png,1,1,200,217,17,201,1,1,331,4846,pos_feedback_onset,14,300946,csm,5076
027,2,1,csp,28a.png,1,1,212,214,2,212,1,1,288,4384,pos_feedback_onset,1,13322,csm,4500
027,2,1,csm,9b.png,1,1,316,314,-2,316,1,1,320,3461,neu_feedback_onset,2,31057,csp,4384
027,2,1,csp,56a.png,1,1,8,55,47,9,1,0,290,5076,neg_feedback_onset,3,47088,csm,3461
027,2,1,csm,32b.png,1,0,168,99,-69,168,1,1,389,4846,neu_feedback_onset,4,64421,csp,5076
027,2,1,csp,29a.png,1,1,144,258,114,143,1,1,396,5307,pos_feedback_onset,5,81555,csm,4846
027,2,1,csp,61a.png,1,1,176,190,14,176,1,1,347,5538,pos_feedback_onset,6,100291,csp,5307
027,2,1,csp,48a.png,1,1,180,299,119,180,1,1,405,3230,pos_feedback_onset,7,118059,csp,5538
027,2,1,csm,14b.png,1,1,52,135,83,52,1,1,305,3692,neu_feedback_onset,8,133406,csp,3230
027,2,1,csm,12b.png,1,1,4,359,-5,NaN,0,1,412,6000,neu_feedback_onset,9,NaN,csm,3692
027,2,1,csm,63b.png,1,1,140,44,-96,141,1,1,326,3923,neu_feedback_onset,10,170244,csm,6000
027,2,1,csm,51b.png,1,1,336,137,161,336,1,1,339,4153,neu_feedback_onset,11,187210,csm,3923
027,2,1,csp,39a.png,1,1,16,349,-27,16,1,1,487,4615,pos_feedback_onset,12,203960,csm,4153
027,2,1,csp,42a.png,1,1,356,38,42,356,1,1,505,3000,neg_feedback_onset,13,222362,csp,4615
027,2,1,csm,45b.png,1,1,228,210,-18,227,1,1,193,5769,neu_feedback_onset,14,237876,csp,3000
027,3,1,csp,4a.png,1,1,328,278,-50,NaN,0,1,346,5769,neg_feedback_onset,1,NaN,csm,4500
027,3,1,csp,57a.png,1,1,268,71,163,268,1,1,427,4153,pos_feedback_onset,2,30106,csp,5769
027,3,1,csm,36b.png,1,1,80,92,12,81,1,1,260,5538,neu_feedback_onset,3,46688,csp,4153
027,3,1,csp,63a.png,1,1,60,71,11,59,1,1,310,4384,pos_feedback_onset,4,64841,csm,5538
027,3,1,csm,40b.png,1,1,284,223,-61,284,1,1,268,5076,neu_feedback_onset,5,83109,csp,4384
027,3,1,csm,37b.png,1,0,272,96,-176,271,1,1,559,5307,neu_feedback_onset,6,100076,csm,5076
027,3,1,csp,14a.png,1,1,304,360,56,306,1,1,297,3000,pos_feedback_onset,7,118745,csm,5307
027,3,1,csm,16b.png,1,1,48,307,-101,48,1,1,480,4615,neu_feedback_onset,8,134109,csp,3000
027,3,1,csp,13a.png,1,1,296,258,-38,297,1,1,506,3230,pos_feedback_onset,9,150741,csm,4615
027,3,1,csp,6a.png,1,1,280,319,39,279,1,0,413,6000,neg_feedback_onset,10,166037,csp,3230
027,3,1,csp,55a.png,1,1,332,317,-15,333,1,1,283,3692,pos_feedback_onset,11,184006,csp,6000
027,3,1,csm,8b.png,1,1,100,118,18,101,1,0,492,3461,neu_feedback_onset,12,200187,csp,3692
027,3,1,csm,56b.png,1,1,324,135,171,324,1,1,335,3923,neu_feedback_onset,13,215634,csm,3461
027,3,1,csm,58b.png,1,1,24,231,-153,25,1,1,352,4846,neu_feedback_onset,14,232801,csm,3923
027,4,1,csp,58a.png,1,1,308,53,105,307,1,1,276,5769,pos_feedback_onset,1,8474,csm,4500
027,4,1,csm,64b.png,1,1,260,277,17,259,1,1,341,3461,neu_feedback_onset,2,26192,csp,5769
027,4,1,csp,10a.png,1,1,292,255,-37,292,1,1,579,4615,neg_feedback_onset,3,41856,csm,3461
027,4,1,csm,1b.png,1,1,64,63,-1,62,1,1,444,4846,neu_feedback_onset,4,58004,csp,4615
027,4,1,csm,18b.png,1,1,232,211,-21,231,1,1,274,5076,neu_feedback_onset,5,75287,csm,4846
027,4,1,csm,46b.png,1,1,124,129,5,123,1,1,684,5538,neu_feedback_onset,6,92905,csm,5076
027,4,1,csm,57b.png,1,1,236,224,-12,234,1,1,528,4153,neu_feedback_onset,7,110990,csm,5538
027,4,1,csp,21a.png,1,0,0,266,-94,2,1,1,368,6000,pos_feedback_onset,8,129042,csm,4153
027,4,1,csp,38a.png,1,1,132,306,174,131,1,1,371,5307,pos_feedback_onset,9,147377,csp,6000
027,4,1,csm,35b.png,1,1,136,134,-2,133,1,1,252,4384,neu_feedback_onset,10,164538,csp,5307
027,4,1,csm,61b.png,1,1,76,236,160,76,1,1,499,3230,neu_feedback_onset,11,180592,csm,4384
027,4,1,csp,46a.png,1,1,108,120,12,108,1,1,314,3692,pos_feedback_onset,12,196857,csm,3230
027,4,1,csp,8a.png,1,1,84,306,-138,264,1,1,309,3000,neg_feedback_onset,13,213723,csp,3692
027,4,1,csp,3a.png,1,1,40,33,-7,220,1,1,669,3923,neg_feedback_onset,14,230139,csp,3000
027,5,1,csp,36a.png,1,1,300,48,108,300,1,1,357,3923,pos_feedback_onset,1,8261,csm,4500
027,5,1,csm,33b.png,1,1,252,125,-127,252,1,1,429,4846,neu_feedback_onset,2,25128,csp,3923
027,5,1,csm,42b.png,1,1,88,35,-53,88,1,1,391,5076,neu_feedback_onset,3,42227,csm,4846
027,5,1,csp,59a.png,1,1,96,266,170,96,1,1,600,3000,neg_feedback_onset,4,59511,csm,5076
027,5,1,csm,52b.png,1,1,156,270,114,155,1,1,274,4615,neu_feedback_onset,5,76160,csp,3000
027,5,1,csm,15b.png,1,1,128,241,113,126,1,0,616,5307,neu_feedback_onset,6,92592,csm,4615
027,5,1,csp,19a.png,1,1,320,316,-4,319,1,1,416,3692,pos_feedback_onset,7,110126,csm,5307
027,5,1,csp,64a.png,1,1,184,275,91,184,1,1,390,6000,pos_feedback_onset,8,127310,csp,3692
027,5,1,csp,62a.png,1,1,36,234,-162,37,1,1,518,5538,pos_feedback_onset,9,147316,csp,6000
