sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,dot_resp_loc,cat_corr,TN_corr,TN_rt,feedback_type,trial,SP_timeseries,FB_timeseries,SP_peak_response,FB_peak_response,preStim_bl,anticipation
053,1,2,csm,10a.png,1,0,196,NaN,197,1,1,562,neu_feedback_onset,1,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",,,6.07183,
053,1,2,csp,18b.png,1,0,244,NaN,242,1,0,322,neg_feedback_onset,2,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",,,6.344175,0.7237649999999993
053,1,2,csm,6a.png,1,1,108,120,104,1,1,528,neu_feedback_onset,3,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",,,6.126859999999999,-0.11591000000000129
053,1,2,csp,8b.png,1,1,4,234,7,1,1,528,neg_feedback_onset,4,"[ 2.86476637  2.31994475  1.81354004  1.35079091  0.93693602  0.57721406
  0.27162501  0.0219151  -0.18064678 -0.34129931 -0.47051982 -0.57878566
 -0.67482793 -0.7708702  -0.87215115 -0.9821632  -1.10439882 -1.24060423
 -1.38903319 -1.55143195 -1.72954671 -1.9251237  -2.14340159 -2.38961905
 -2.66726853 -2.98508114 -3.34131066 -3.74119576 -4.17775155 -4.64399312
 -5.13118938 -5.62537053 -6.10907434 -6.57007724 -6.9891708  -7.35587766
 -7.66146671 -7.89720683 -8.05785936 -8.14517051 -8.15739408 -8.09627627
 -7.95832464 -7.74528542 -7.45541237 -7.08521307 -6.63294128 -6.098597
 -5.48218023 -4.78892964 -4.02583013 -3.19986659 -2.32675502 -1.41697277
 -0.48448961  0.46021711  1.40492383  2.3391532   3.25766657  4.15347904
  5.01611327  5.84207682  6.62089234  7.34208249  8.00040862  8.58539337
  9.09179808  9.51787652  9.8636287  10.13254707 10.33510895 10.48179169
 10.58656508 10.66165268 10.72102426 10.77341096 10.8292901  10.89215413
 10.96374928 11.04582177 11.13313293 11.22219031 11.30950146 11.38458906
 11.44221442 11.47364644 11.47190021 11.42999086 11.34093348 11.20298185
 11.01264353 10.77341096 10.48528414 10.15350174  9.78504866  9.38865601
  8.97130868  8.54173779  8.1121669   7.69307334  7.29493447  6.92997383
  6.61216122  6.3537202   6.16338188  6.04987737  6.01669913  6.06384716
  6.18259033  6.36419754  6.59295277  6.85663246  7.13602816  7.41891631
  7.69481957  7.95500681  8.19598561  8.41600972  8.61857161  8.80541748
  8.97829357  9.14243855  9.29959863  9.45326627  9.60344146  9.75361665
  9.90553806 10.06095192 10.21985822 10.38749565 10.56386418 10.75245628
 10.95501817 11.17504228 11.4107824  11.66223854 11.92591823 12.20007526
 12.47947096 12.753628   13.01730769 13.26527138 13.48878794 13.68785738
 13.8554948  13.99693887 14.10869715 14.19775453 14.26411101 14.31300526
 14.34967594 14.37412307 14.39333152 14.40555509 14.41603242 14.42301732
 14.42825599 14.43349466 14.43873332 14.44397199 14.44746444 14.45095689
 14.45619556 14.459688   14.46492667 14.46841912 14.47191156 14.47715023
 14.48064268 14.48413513 14.4893738  14.49286624 14.49635869 14.50159736
 14.5050898  14.51032847 14.51382092 14.51731337 14.52255204 14.52604448
 14.52953693 14.5347756  14.53826804 14.54350671 14.54699916 14.55049161
 14.55573027 14.55922272 14.56271517 14.56795384 14.57144628 14.57493873
 14.5801774  14.58366985 14.58890851 14.59240096 14.59589341 14.60113208
 14.60462452 14.60811697 14.61335564 14.61684808 14.62208675 14.6255792
 14.62907165 14.63431032 14.63780276 14.64129521 14.64653388 14.65002632
 14.65351877 14.65875744 14.66224989 14.66748856 14.670981   14.67447345
 14.67971212 14.68320456 14.68669701 14.69193568 14.69542813 14.7006668
 14.70415924 14.70765169 14.71289036 14.7163828  14.71987525 14.72511392
 14.72860637 14.73209881 14.73733748 14.74082993 14.7460686  14.74956104
 14.75305349 14.75829216 14.76178461 14.76527705 14.77051572 14.77400817
 14.77924684 14.78273928 14.78623173 14.7914704  14.79496284 14.79845529
 14.80369396 14.80718641 14.81067885 14.81591752 14.81940997 14.82464864
 14.82814108 14.83163353 14.8368722  14.84036465 14.84385709 14.84909576
 14.85258821 14.85782688]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",14.815668061940539,,5.7266449999999995,
053,1,2,csp,45b.png,1,1,100,31,102,1,0,330,neg_feedback_onset,5,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan]","[ 0.28728004  0.21031601  0.14277614  0.08308974  0.03282752 -0.00801054
 -0.03942443 -0.06141416 -0.07712111 -0.08497458 -0.08654527 -0.08497458
 -0.0786918  -0.06926763 -0.05984346 -0.04727791 -0.03471235 -0.02214679
 -0.00801054  0.00612571  0.02026196  0.03282752  0.04696377  0.06110002
  0.07523627  0.08937252  0.10350877  0.11764503  0.13178128  0.14434683
  0.15848309  0.17261934  0.18675559  0.20089184  0.21502809  0.22916434
  0.24330059  0.25586615  0.2700024   0.28413865  0.29827491  0.31241116
  0.32654741  0.34068366  0.35481991  0.36738547  0.38152172  0.39565797
  0.40979422  0.42393047  0.43806673  0.45220298  0.46633923  0.47890479
  0.49304104  0.50717729  0.52131354  0.53544979  0.54958604  0.56372229
  0.57785855  0.5919948   0.60456035  0.61869661  0.63440355  0.6485398
  0.66424675  0.6799537   0.69880203  0.72079176  0.74592287  0.77733676
  0.81817482  0.87000774  0.93440622  1.01451165  1.11032402  1.22184334
  1.3474989   1.48100795  1.61922907  1.75430881  1.87839368  1.98677161
  2.07001842  2.12656343  2.15483593  2.15326524  2.12499274  2.07158912
  1.99776647  1.90823688  1.80614173  1.69619311  1.57839101  1.45744753
  1.33650404  1.21398986  1.09461707  0.97995637  0.87157844  0.76948329
  0.678383    0.59513619  0.52288424  0.45848576  0.40194075  0.35167852
  0.30612838  0.26371962  0.22131087  0.18047281  0.13963475  0.09879669
  0.05952933  0.02340335 -0.01115193 -0.04413652 -0.07240902 -0.09911083
 -0.12424194 -0.14623167 -0.1666507  -0.18549903 -0.20591806 -0.2231957
 -0.24204404 -0.25932168 -0.27817002 -0.29544766 -0.31429599 -0.33157363
 -0.34885127 -0.36769961 -0.38497725 -0.40225489 -0.42110322 -0.43838087
 -0.4572292  -0.47450684]",,1.2997497883488929,6.046889999999999,
053,1,2,csm,22a.png,1,1,172,239,167,1,1,355,neu_feedback_onset,6,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",,,6.05265,0.25715999999999983
053,1,2,csp,22b.png,1,1,340,357,345,1,1,498,pos_feedback_onset,7,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",,,6.60552,
053,1,2,csp,35b.png,1,1,216,247,211,1,1,361,pos_feedback_onset,8,"[ 0.70004478  0.73540058  0.77580721  0.81284661  0.84315158  0.85830407
  0.85325324  0.81958105  0.75055307  0.64448567  0.49632805  0.30608019
  0.07205848 -0.20068624 -0.50710315 -0.84550864 -1.20580104 -1.58292955
 -1.9684761  -2.35738987 -2.74125281 -3.11164687 -3.4567868  -3.76825453
 -4.02921399 -4.2278799  -4.34909977 -4.37940474 -4.30869315 -4.13359777
 -3.85075139 -3.47193928 -3.00726309 -2.47524252 -1.8977645  -1.29671595
 -0.69230018 -0.10303689  0.45928864  0.98794199  1.47618871  1.92739603
  2.34324755  2.72711049  3.08403568  3.41739034  3.72885808  4.02180611
  4.29286722  4.54204141  4.76596146  4.96126015  5.12625387  5.25589179
  5.35185753  5.41246746  5.44108882  5.44108882  5.41751829  5.37542806
  5.31986895  5.25420818  5.18686381  5.11783582  5.05217505  4.98988151
  4.9343224   4.88381412  4.84172388  4.8097353   4.78616477  4.77101229
  4.76764507  4.77437951  4.78784838  4.8097353   4.83835666  4.86866163
  4.90233382  4.9343224   4.96294376  4.98988151  5.01345204  5.03365535
  5.05049145  5.06396032  5.07574559  5.08584724  5.0959489   5.10268334
  5.11110138  5.11951943  5.12625387  5.13298831  5.13972274  5.14814079
  5.15487523  5.16160967  5.1683441   5.17507854  5.18181298  5.18686381
  5.19359824  5.19696546  5.20033268  5.20201629  5.20201629  5.20201629
  5.20201629  5.2036999   5.20875073  5.2222196   5.24915735  5.29124759
  5.35690835  5.44782326  5.56904314  5.72056798  5.9023978   6.11116536
  6.34013624  6.5842596   6.8351174   7.0859752   7.33009856  7.56412026
  7.78467309  7.98670622  8.17358686  8.34363141  8.49852347  8.63826305
  8.76285015  8.87228476  8.96656688  9.0406457   9.0945212   9.11809173
  9.11135729  9.06421623  8.97161771  8.83187813  8.63826305  8.39413969
  8.09950805  7.76110256  7.38397406  6.97990781  6.55732185  6.12800145
  5.7054155   5.30134924  4.92422074  4.58581525  4.29118361  4.04706025
  3.85512878  3.71370559  3.61773986  3.56386435  3.54366104  3.54534465
  3.56386435  3.5891185   3.61437264  3.63289234  3.63962678  3.63289234
  3.60932181  3.56891518  3.51167246  3.44432809  3.36519845  3.28101798
  3.19683751  3.11434065  3.04026183  2.97628468  2.92409279  2.88536977
  2.85843202  2.84159593  2.8365451   2.83822871  2.84496315  2.85674841
  2.8719009   2.89210421  2.91904196  2.95271415  2.99648799  3.05373071
  3.1227587   3.20862277  3.30963934  3.42749199  3.56049714  3.70865476
  3.87028126  4.04200942  4.22383924  4.41240349  4.60770218  4.80805169
  5.01176843  5.21885238  5.42761995  5.63975473  5.85188951  6.0640243
  6.27447547  6.48324304  6.68695977  6.88225846  7.06577188  7.2307656
  7.3738724   7.49172506  7.57927275  7.63314825  7.65503517  7.6415663
  7.59779245  7.52708086  7.43111512  7.3199969   7.19709342  7.06745549
  6.93950118  6.81491409  6.69874504  6.59267765  6.49839552  6.41421505
  6.34013624  6.27615908  6.21723275  6.16504086  6.11453258  6.06570791
  6.01688323  5.96805856  5.9209175   5.87377644  5.82663537  5.78117792
  5.73908769  5.69699745  5.65995804  5.62460225  5.59261367  5.5623087
  5.53537095  5.51348403  5.49328071  5.47981184  5.47139379  5.4730774
  5.48317906  5.50338237]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",7.28464110498652,,5.93962,0.2924049999999987
053,1,2,csm,2a.png,1,1,36,126,44,1,1,224,neu_feedback_onset,9,"[-0.47793913 -0.43371584 -0.40750944 -0.40095784 -0.41406104 -0.44026744
 -0.47466333 -0.50414552 -0.51724872 -0.50578342 -0.45500853 -0.35837245
 -0.21423728 -0.02096512  0.21489244  0.48678379  0.78160573  1.08625507
  1.38599072  1.66934736  1.92485971  2.14597617  2.32286934  2.45553921
  2.54071     2.58165749  2.58001959  2.5439858   2.48174561  2.40640222
  2.33105884  2.27209445  2.24425015  2.26226705  2.33761044  2.47191821
  2.66846617  2.92070272  3.21388677  3.53491511  3.86249505  4.17697179
  4.46032843  4.69454809  4.86816545  4.97626683  5.01393853  4.98609423
  4.89600975  4.75351248  4.56679191  4.34403755  4.0950768   3.82809915
  3.5496562   3.26957536  2.99440821  2.73070636  2.48829721  2.27373235
  2.09683918  1.96416931  1.88227432  1.85443003  1.87899852  1.95434191
  2.06899489  2.21149216  2.36873053  2.524331    2.66846617  2.78967075
  2.88139313  2.94035752  2.96820182  2.96983972  2.95182282  2.91906482
  2.88303103  2.84535934  2.81423924  2.79458445  2.78475705  2.78967075
  2.80768765  2.83880774  2.88139313  2.93216802  2.99113241  3.0550105
  3.12380229  3.19750777  3.27285116  3.35474614  3.44155483  3.53982881
  3.65120599  3.78060006  3.92964893  4.1016284   4.29653846  4.51274122
  4.74859878  4.99919743  5.25798558  5.51677373  5.77064818  6.00978154
  6.23089799  6.42744596  6.59614963  6.7353711   6.84674828  6.93028116
  6.98760765  7.02527934  7.04329624  7.04820994  7.04165834  7.02691724
  7.00562455  6.98105605  6.95321176  6.92372956  6.89424737  6.86312727
  6.83364508  6.80416289  6.77468069  6.7501122   6.7271816   6.7108026
  6.70261311  6.704251    6.72063     6.753388    6.80580079  6.88278207
  6.98596975  7.11536383  7.2742401   7.46096066  7.67224972  7.90810728
  8.16525753  8.43714888  8.72541922  9.02187906  9.32816631  9.63772935
  9.95220609 10.26832073 10.58607327 10.90382581 11.21994045 11.53277929
 11.84070443 12.14044007 12.43034832 12.70715336 12.96266571 13.19360957
 13.39343333 13.5555854  13.67515208 13.74558177 13.76523656 13.73247857
 13.64730778 13.51136211 13.32955524 13.10843879 12.85620223 12.58103509
 12.28948894 11.9913912  11.69493136 11.40502311 11.12985596 10.87434361
 10.64339976 10.43702439 10.25849333 10.10944446  9.98496408  9.8850522
  9.80479512  9.74255493  9.69014214  9.64755675  9.61152295  9.57712706
  9.54436906  9.51324897  9.48212888  9.45100878  9.41988869  9.38876859
  9.3576485   9.32489051  9.29377041  9.26101242  9.22825442  9.19713433
  9.16437634  9.13325624  9.10049825  9.06774026  9.03662016  9.00386217
  8.97274207  8.93998408  8.90722609  8.87610599  8.843348    8.8122279
  8.77946991  8.74671192  8.71559182  8.68283383  8.65171373  8.61895574
  8.58619775  8.55507765  8.52231966  8.49119956  8.45844157  8.42568358
  8.39456348  8.36180549  8.3306854   8.2979274   8.26516941  8.23404931
  8.20129132  8.16853333  8.13741323  8.10465524  8.07353514  8.04077715
  8.00801916  7.97689906  7.94414107  7.91302097  7.88026298  7.84750499
  7.81638489  7.7836269   7.75250681  7.71974881  7.68699082  7.65587072
  7.62311273  7.59199264  7.55923464  7.52647665  7.49535655  7.46259856
  7.43147847  7.39872047]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",11.701401059393547,,6.1053799999999985,
053,1,2,csm,49a.png,1,1,300,56,297,1,1,456,neu_feedback_onset,10,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan]","[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan nan nan nan nan nan nan nan]",,,5.562015000000001,
