,sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,feedback_type,trial,SP_peak_response,FB_peak_response,preStim_bl,anticipation
2567,037,6,2,csm,39a.png,1,1,52,225,173,52,1,1,421,neu_feedback_onset,6,,0.11936981538934635,2.670205,0.5128399999999993
2568,037,6,2,csp,21b.png,1,1,244,273,29,243,1,1,707,neg_feedback_onset,7,1.7138689307817825,,3.2630849999999993,0.019734999999999836
2569,037,6,2,csp,20b.png,1,1,44,270,-134,44,1,1,779,neg_feedback_onset,8,2.1884330454908674,2.485579602515908,3.2923099999999996,0.2900200000000006
2570,037,6,2,csm,57a.png,1,1,16,92,76,16,1,1,706,neu_feedback_onset,9,0.1675308663823292,4.259050229783123,3.39042,
2571,037,6,2,csp,31b.png,1,1,196,290,94,196,1,1,619,neg_feedback_onset,10,,,2.702075,
2572,037,6,2,csm,14a.png,1,1,200,57,-143,200,1,1,700,neu_feedback_onset,11,16.089452519770376,5.939691336840347,2.791425,0.4379249999999999
2573,037,6,2,csp,50b.png,1,0,276,NaN,NaN,NaN,0,1,543,neg_feedback_onset,12,,,2.7935299999999996,
2574,037,6,2,csm,10a.png,1,1,0,360,0,360,1,1,617,neu_feedback_onset,13,,2.1280914314264314,2.7652500000000004,
2575,037,6,2,csp,64b.png,1,1,60,262,-158,60,1,0,NaN,neg_feedback_onset,14,,6.12946606516891,2.6297550000000003,
2576,038,1,2,csp,55b.png,1,1,236,231,-5,237,1,1,532,neg_feedback_onset,1,7.60030656369523,18.09295947626707,4.0839799999999995,0.08955000000000002
2577,038,1,2,csm,40a.png,1,1,72,40,-32,72,1,1,405,neu_feedback_onset,2,0.5104763882102701,0.2862201844479425,4.431155000000001,0.05784499999999948
2578,038,1,2,csm,3a.png,1,1,320,297,-23,319,1,1,442,neu_feedback_onset,3,9.766023499055002,7.294043219675832,4.092504999999999,-0.4074800000000014
2579,038,1,2,csm,34a.png,1,1,308,234,-74,308,1,1,462,neu_feedback_onset,4,14.364753566435647,6.4509409634459995,4.045005,-0.2814899999999989
2580,038,1,2,csp,9b.png,1,1,20,25,5,20,1,0,294,neg_feedback_onset,5,14.611520420529438,2.7829379323830534,4.302455000000001,-0.3576900000000016
2581,038,1,2,csm,6a.png,1,1,124,230,106,125,1,1,757,neu_feedback_onset,6,5.5329650985210845,2.1312645318722696,4.28893,0.23165999999999887
2582,038,1,2,csp,43b.png,1,1,284,124,-160,283,1,1,296,pos_feedback_onset,7,11.91416360681394,3.11621390159465,4.15325,0.6761099999999995
2583,038,1,2,csp,15b.png,1,1,152,122,-30,153,1,1,369,pos_feedback_onset,8,3.5477627273897254,8.234051119322112,4.19614,-0.05797000000000008
2584,038,1,2,csm,59a.png,1,1,16,243,-133,17,1,1,426,neu_feedback_onset,9,7.908111227821866,0.046742560242614764,4.178075,0.10591999999999979
