sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
017,1,1,csp,27a.png,1,1,192,248,56,192,1,1,315,3000,pos_feedback_onset,1,70567,csm,4500
017,1,1,csp,8a.png,1,0,124,NaN,NaN,123,1,1,507,3230,neg_feedback_onset,2,85597,csp,3000
017,1,1,csp,45a.png,1,1,284,179,-105,3,0,1,681,4384,neg_feedback_onset,3,100242,csp,3230
017,1,1,csp,43a.png,1,1,212,280,68,209,1,0,NaN,4846,neg_feedback_onset,4,117159,csp,4384
017,1,1,csm,22b.png,1,1,144,95,-49,NaN,0,0,NaN,5307,neu_feedback_onset,5,NaN,csp,4846
017,1,1,csp,2a.png,1,1,256,254,-2,253,1,0,363,3692,neg_feedback_onset,6,151241,csm,5307
017,1,1,csm,15b.png,1,1,208,73,-135,25,0,1,677,3923,neu_feedback_onset,7,167874,csp,3692
017,1,1,csp,29a.png,1,0,332,256,-76,NaN,0,0,NaN,6000,neg_feedback_onset,8,NaN,csm,3923
017,1,1,csm,60b.png,1,1,140,111,-29,142,1,1,458,3461,neu_feedback_onset,9,203526,csp,6000
017,1,1,csm,24b.png,1,1,16,270,-106,NaN,0,1,544,5538,neu_feedback_onset,10,NaN,csm,3461
017,1,1,csm,33b.png,1,1,264,271,7,262,1,1,463,4153,neu_feedback_onset,11,238327,csm,5538
017,1,1,csp,63a.png,1,1,312,190,-122,303,1,1,478,4615,pos_feedback_onset,12,256847,csm,4153
017,1,1,csm,41b.png,1,1,20,358,-22,239,1,0,NaN,5769,neu_feedback_onset,13,273362,csp,4615
017,1,1,csm,57b.png,1,1,60,267,-153,60,1,1,450,5076,neu_feedback_onset,14,292299,csm,5769
017,2,1,csm,48b.png,1,1,320,285,-35,321,1,1,244,5307,neu_feedback_onset,1,17163,csm,4500
017,2,1,csm,49b.png,1,0,296,210,-86,297,1,1,364,4153,neu_feedback_onset,2,33444,csm,5307
017,2,1,csm,62b.png,1,0,24,204,-180,25,1,1,517,3923,neu_feedback_onset,3,49943,csm,4153
017,2,1,csp,23a.png,1,1,324,243,-81,325,1,1,386,5076,pos_feedback_onset,4,67126,csm,3923
017,2,1,csp,53a.png,1,1,272,271,-1,269,1,1,417,4615,pos_feedback_onset,5,83859,csp,5076
017,2,1,csp,59a.png,1,1,96,97,1,97,1,1,765,4384,neg_feedback_onset,6,100859,csp,4615
017,2,1,csm,34b.png,1,1,280,279,-1,279,1,1,330,5538,neu_feedback_onset,7,118476,csp,4384
017,2,1,csp,40a.png,1,1,316,262,-54,318,1,0,451,3461,neg_feedback_onset,8,135810,csm,5538
017,2,1,csm,66b.png,1,1,44,274,-130,43,1,1,441,5769,neu_feedback_onset,9,152593,csp,3461
017,2,1,csm,40b.png,1,0,112,104,-8,NaN,0,1,417,4846,neu_feedback_onset,10,NaN,csm,5769
017,2,1,csp,24a.png,1,1,228,271,43,227,1,1,362,3230,pos_feedback_onset,11,188563,csm,4846
017,2,1,csm,65b.png,1,1,32,271,-121,35,1,0,NaN,3692,neu_feedback_onset,12,204644,csp,3230
017,2,1,csp,7a.png,1,0,336,90,114,335,1,1,324,3000,pos_feedback_onset,13,220107,csm,3692
017,2,1,csp,11a.png,1,1,304,83,139,308,1,1,349,6000,pos_feedback_onset,14,235254,csp,3000
017,3,1,csp,9a.png,1,1,292,86,154,286,1,1,269,4384,pos_feedback_onset,1,11840,csm,4500
017,3,1,csm,50b.png,1,1,308,247,-61,306,1,1,407,6000,neu_feedback_onset,2,27887,csp,4384
017,3,1,csm,38b.png,1,1,128,93,-35,129,1,1,309,3461,neu_feedback_onset,3,46507,csm,6000
