sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
002,1,1,csm,15b.png,1,1,308,279,-29,307,1,1,384,3461,neu_feedback_onset,1,81193,csm,4500
002,1,1,csp,21a.png,1,1,172,53,-119,176,1,1,220,3923,pos_feedback_onset,2,95721,csm,3461
002,1,1,csp,43a.png,1,1,124,64,-60,122,1,0,215,5076,neg_feedback_onset,3,113038,csp,3923
002,1,1,csm,19b.png,1,1,44,263,-141,NaN,0,1,367,4153,neu_feedback_onset,4,NaN,csp,5076
002,1,1,csm,9b.png,1,1,344,266,-78,345,1,1,457,5769,neu_feedback_onset,5,147806,csm,4153
002,1,1,csm,49b.png,1,1,216,353,137,214,1,1,478,3230,neu_feedback_onset,6,165356,csm,5769
002,1,1,csm,27b.png,1,1,288,269,-19,283,1,1,312,4846,neu_feedback_onset,7,181338,csm,3230
002,1,1,csp,58a.png,1,1,128,68,-60,NaN,0,1,300,5538,neg_feedback_onset,8,NaN,csm,4846
002,1,1,csp,64a.png,1,1,284,271,-13,281,1,1,610,3000,neg_feedback_onset,9,218360,csp,5538
002,1,1,csm,42b.png,1,1,100,304,-156,NaN,0,1,414,3692,neu_feedback_onset,10,NaN,csp,3000
002,1,1,csp,1a.png,1,1,64,197,133,64,1,0,374,4615,neg_feedback_onset,11,252009,csm,3692
002,1,1,csp,38a.png,1,1,328,279,-49,327,1,1,730,5307,neg_feedback_onset,12,269109,csp,4615
002,1,1,csm,65b.png,1,1,356,185,-171,359,1,1,589,6000,neu_feedback_onset,13,285741,csp,5307
002,1,1,csp,52a.png,1,1,176,179,3,NaN,0,1,321,4384,neg_feedback_onset,14,NaN,csm,6000
002,2,1,csp,53a.png,1,1,92,68,-24,87,1,0,NaN,3923,neg_feedback_onset,1,11644,csm,4500
002,2,1,csp,60a.png,1,1,188,270,82,NaN,0,1,308,3230,neg_feedback_onset,2,NaN,csp,3923
002,2,1,csm,26b.png,1,1,256,271,15,254,1,1,497,3461,neu_feedback_onset,3,45367,csp,3230
002,2,1,csm,56b.png,1,1,352,88,96,352,1,1,522,5538,neu_feedback_onset,4,61175,csm,3461
002,2,1,csm,25b.png,1,1,136,270,134,133,1,1,348,5076,neu_feedback_onset,5,78007,csm,5538
002,2,1,csp,47a.png,1,1,84,273,-171,264,1,1,395,5769,neg_feedback_onset,6,95157,csm,5076
002,2,1,csm,31b.png,1,1,108,270,162,108,1,1,380,6000,neu_feedback_onset,7,114628,csp,5769
002,2,1,csm,61b.png,1,1,4,270,-94,357,1,1,673,3000,neu_feedback_onset,8,133081,csm,6000
002,2,1,csp,63a.png,1,1,80,187,107,79,1,0,341,4846,neg_feedback_onset,9,148595,csm,3000
002,2,1,csp,20a.png,1,1,204,228,24,202,1,1,429,3692,pos_feedback_onset,10,165294,csp,4846
002,2,1,csp,5a.png,1,1,276,264,-12,271,1,1,393,4384,pos_feedback_onset,11,181509,csp,3692
002,2,1,csp,40a.png,1,1,28,266,-122,29,1,1,322,4615,pos_feedback_onset,12,197907,csp,4384
002,2,1,csm,36b.png,1,1,104,285,-179,103,1,0,340,4153,neu_feedback_onset,13,215207,csp,4615
002,2,1,csm,66b.png,1,1,116,277,161,111,1,1,333,5307,neu_feedback_onset,14,231239,csm,4153
002,3,1,csp,66a.png,1,1,24,274,-110,17,1,1,459,3000,pos_feedback_onset,1,13766,csm,4500
002,3,1,csp,42a.png,1,1,324,267,-57,325,1,1,370,3230,pos_feedback_onset,2,29162,csp,3000
002,3,1,csm,22b.png,1,1,12,2,-10,17,1,0,333,3692,neu_feedback_onset,3,43707,csp,3230
002,3,1,csm,23b.png,1,1,268,260,-8,277,1,1,442,4153,neu_feedback_onset,4,58770,csm,3692
002,3,1,csm,4b.png,1,1,96,76,-20,95,1,1,260,4384,neu_feedback_onset,5,74784,csm,4153
002,3,1,csp,23a.png,1,1,52,193,141,54,1,0,294,4615,neg_feedback_onset,6,90649,csm,4384
002,3,1,csp,19a.png,1,0,340,71,91,338,1,1,351,3461,pos_feedback_onset,7,107531,csp,4615
002,3,1,csm,39b.png,1,1,164,110,-54,347,1,1,361,5769,neu_feedback_onset,8,123630,csp,3461
002,3,1,csp,50a.png,1,1,336,266,-70,331,1,0,330,5076,neg_feedback_onset,9,142683,csm,5769
002,3,1,csp,49a.png,1,1,260,261,1,260,1,1,358,5307,pos_feedback_onset,10,160301,csp,5076
002,3,1,csm,58b.png,1,1,296,276,-20,283,1,1,518,4846,neu_feedback_onset,11,177685,csp,5307
002,3,1,csm,59b.png,1,1,16,90,74,16,1,1,296,5538,neu_feedback_onset,12,194417,csm,4846
002,3,1,csm,37b.png,1,1,56,50,-6,56,1,1,547,3923,neu_feedback_onset,13,212452,csm,5538
002,3,1,csp,39a.png,1,1,36,63,27,38,1,1,400,6000,pos_feedback_onset,14,227331,csm,3923
002,4,1,csm,12b.png,1,1,32,48,16,31,1,1,539,5307,neu_feedback_onset,1,11263,csm,4500
002,4,1,csm,32b.png,1,1,312,86,134,312,1,1,244,3230,neu_feedback_onset,2,28313,csm,5307
002,4,1,csp,24a.png,1,1,316,86,130,138,1,1,429,5076,neg_feedback_onset,3,43943,csm,3230
002,4,1,csm,52b.png,1,1,236,85,-151,235,1,1,266,5538,neu_feedback_onset,4,62813,csp,5076
002,4,1,csm,3b.png,1,1,232,53,-179,56,1,1,588,4153,neu_feedback_onset,5,79396,csm,5538
002,4,1,csp,34a.png,1,1,132,88,-44,130,1,1,432,3692,pos_feedback_onset,6,95727,csm,4153
002,4,1,csp,48a.png,1,1,112,354,-118,109,1,0,345,3461,neg_feedback_onset,7,112176,csp,3692
002,4,1,csp,33a.png,1,1,300,59,119,303,1,1,559,3923,pos_feedback_onset,8,127156,csp,3461
002,4,1,csm,8b.png,1,1,320,50,90,317,1,1,281,4846,neu_feedback_onset,9,142468,csp,3923
002,4,1,csp,18a.png,1,1,152,NaN,NaN,154,1,0,323,6000,neg_feedback_onset,10,158867,csm,4846
002,4,1,csm,48b.png,1,1,180,62,-118,183,1,1,277,4384,neu_feedback_onset,11,176484,csp,6000
002,4,1,csm,33b.png,1,1,76,80,4,86,1,1,619,5769,neu_feedback_onset,12,193734,csm,4384
002,4,1,csp,12a.png,1,1,88,80,-8,92,1,1,282,3000,pos_feedback_onset,13,211469,csm,5769
002,4,1,csp,25a.png,1,1,156,89,-67,153,1,1,335,4615,pos_feedback_onset,14,228585,csp,3000
002,5,1,csm,21b.png,1,0,200,90,-110,203,1,1,299,4615,neu_feedback_onset,1,10507,csm,4500
002,5,1,csp,22a.png,1,1,68,89,21,75,1,0,291,3923,neg_feedback_onset,2,27273,csm,4615
002,5,1,csm,45b.png,1,1,280,269,-11,277,1,1,714,5076,neu_feedback_onset,3,42485,csp,3923
002,5,1,csp,35a.png,1,1,240,272,32,243,1,1,248,6000,pos_feedback_onset,4,59185,csm,5076
002,5,1,csm,30b.png,1,0,0,81,81,359,1,1,533,4153,neu_feedback_onset,5,78656,csp,6000
002,5,1,csm,29b.png,1,1,252,267,15,244,1,1,523,3230,neu_feedback_onset,6,93819,csm,4153
002,5,1,csp,9a.png,1,1,72,NaN,NaN,68,1,1,327,3692,pos_feedback_onset,7,108547,csm,3230
002,5,1,csm,10b.png,1,1,160,277,117,158,1,0,303,4384,neu_feedback_onset,8,124612,csp,3692
002,5,1,csp,44a.png,1,0,264,86,-178,264,1,1,473,4846,pos_feedback_onset,9,141962,csm,4384
002,5,1,csp,29a.png,1,1,144,87,-57,143,1,1,636,5307,neg_feedback_onset,10,158628,csp,4846
002,5,1,csp,41a.png,1,1,220,270,50,217,1,1,250,5538,pos_feedback_onset,11,175411,csp,5307
002,5,1,csm,51b.png,1,1,140,270,130,140,1,1,787,3461,neu_feedback_onset,12,194013,csp,5538
002,5,1,csm,43b.png,1,1,196,269,73,199,1,1,439,3000,neu_feedback_onset,13,209878,csm,3461
002,5,1,csp,26a.png,1,1,20,86,66,11,1,0,284,5769,neg_feedback_onset,14,225709,csm,3000
002,6,1,csm,1b.png,1,1,48,84,36,54,1,1,267,5307,neu_feedback_onset,1,16301,csm,4500
002,6,1,csm,57b.png,1,1,120,90,-30,301,1,1,279,3692,neu_feedback_onset,2,34169,csm,5307
002,6,1,csp,6a.png,1,1,40,230,-170,223,1,0,527,5538,neg_feedback_onset,3,50084,csm,3692
002,6,1,csm,53b.png,1,1,272,68,156,95,1,1,584,3461,neu_feedback_onset,4,66728,csp,5538
002,6,1,csp,54a.png,1,1,60,85,25,64,1,1,423,4615,pos_feedback_onset,5,81545,csm,3461
002,6,1,csm,24b.png,1,0,148,88,-60,148,1,1,332,3000,neu_feedback_onset,6,98394,csp,4615
002,6,1,csm,16b.png,1,1,168,73,-95,168,1,1,258,3923,neu_feedback_onset,7,113507,csm,3000
002,6,1,csp,59a.png,1,1,292,90,158,293,1,1,444,4846,pos_feedback_onset,8,129722,csm,3923
002,6,1,csm,54b.png,1,1,228,82,-146,NaN,0,1,275,5076,neu_feedback_onset,9,NaN,csp,4846
002,6,1,csp,17a.png,1,1,208,90,-118,207,1,1,344,4384,pos_feedback_onset,10,162836,csm,5076
002,6,1,csp,30a.png,1,1,224,84,-140,224,1,1,321,5769,pos_feedback_onset,11,179201,csp,4384
002,6,1,csp,45a.png,1,1,348,255,-93,343,1,1,389,4153,pos_feedback_onset,12,197353,csp,5769
002,6,1,csp,14a.png,1,1,212,87,-125,199,1,1,458,6000,pos_feedback_onset,13,213535,csp,4153
002,6,1,csm,46b.png,1,1,244,84,-160,244,1,1,699,3230,neu_feedback_onset,14,230418,csp,6000
