sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
007,1,1,csp,33a.png,1,1,104,128,24,104,1,1,438,4615,pos_feedback_onset,1,116668,csm,4500
007,1,1,csp,28a.png,1,1,116,129,13,116,1,1,468,3000,pos_feedback_onset,2,132917,csp,4615
007,1,1,csm,19b.png,1,1,16,277,-99,19,1,1,480,3230,neu_feedback_onset,3,147077,csp,3000
007,1,1,csp,2a.png,1,1,296,181,-115,293,1,1,373,5769,pos_feedback_onset,4,161088,csm,3230
007,1,1,csm,46b.png,1,1,260,84,-176,263,1,1,551,5076,neu_feedback_onset,5,179991,csp,5769
007,1,1,csp,60a.png,1,1,48,88,40,46,1,1,396,3923,pos_feedback_onset,6,196524,csm,5076
007,1,1,csm,13b.png,1,1,152,331,179,156,1,0,491,3461,neu_feedback_onset,7,212672,csp,3923
007,1,1,csp,20a.png,1,1,292,277,-15,291,1,1,353,4384,pos_feedback_onset,8,227834,csm,3461
007,1,1,csp,62a.png,1,1,128,101,-27,120,1,1,482,3692,neg_feedback_onset,9,243047,csp,4384
007,1,1,csm,5b.png,1,1,96,90,-6,97,1,1,302,5307,neu_feedback_onset,10,259646,csp,3692
007,1,1,csm,38b.png,1,1,160,303,143,160,1,1,555,6000,neu_feedback_onset,11,277381,csm,5307
007,1,1,csp,50a.png,1,1,356,284,-72,352,1,1,379,4846,pos_feedback_onset,12,295817,csm,6000
007,1,1,csm,9b.png,1,1,316,324,8,310,1,1,769,4153,neu_feedback_onset,13,312466,csp,4846
007,1,1,csm,64b.png,1,1,180,177,-3,178,1,1,530,5538,neu_feedback_onset,14,327762,csm,4153
007,2,1,csp,53a.png,1,1,248,257,9,246,1,1,404,3230,pos_feedback_onset,1,15662,csm,4500
007,2,1,csm,27b.png,1,1,336,330,-6,333,1,1,604,4615,neu_feedback_onset,2,29823,csp,3230
007,2,1,csp,5a.png,1,1,44,49,5,45,1,1,503,3692,neg_feedback_onset,3,46456,csm,4615
007,2,1,csm,3b.png,1,1,192,214,22,195,1,1,482,5307,neu_feedback_onset,4,62053,csp,3692
007,2,1,csm,58b.png,1,1,196,67,-129,198,1,1,533,5076,neu_feedback_onset,5,77800,csm,5307
007,2,1,csm,37b.png,1,1,280,276,-4,280,1,1,346,3461,neu_feedback_onset,6,94950,csm,5076
007,2,1,csp,64a.png,1,1,56,72,16,59,1,1,530,5769,neg_feedback_onset,7,111332,csm,3461
007,2,1,csm,51b.png,1,1,312,273,-39,308,1,1,555,4153,neu_feedback_onset,8,129033,csp,5769
007,2,1,csp,41a.png,1,1,352,1,9,353,1,1,482,3923,pos_feedback_onset,9,145765,csm,4153
007,2,1,csm,24b.png,1,1,28,272,-116,33,1,1,496,4384,neu_feedback_onset,10,161496,csp,3923
007,2,1,csp,44a.png,1,1,24,49,25,22,1,1,406,6000,pos_feedback_onset,11,176742,csm,4384
007,2,1,csp,22a.png,1,1,232,235,3,234,1,1,437,4846,pos_feedback_onset,12,193525,csp,6000
007,2,1,csm,57b.png,1,1,228,217,-11,228,1,1,1000,3000,neu_feedback_onset,13,210942,csp,4846
007,2,1,csp,4a.png,1,1,184,178,-6,183,1,1,355,5538,pos_feedback_onset,14,226622,csm,3000
007,3,1,csm,44b.png,1,1,8,355,-13,8,1,0,NaN,4153,neu_feedback_onset,1,13146,csm,4500
007,3,1,csp,21a.png,1,1,168,137,-31,169,1,0,NaN,3692,neg_feedback_onset,2,28810,csm,4153
007,3,1,csp,34a.png,1,1,0,2,2,360,1,0,NaN,5769,neg_feedback_onset,3,43906,csp,3692
007,3,1,csp,1a.png,1,1,144,129,-15,143,1,0,NaN,3230,neg_feedback_onset,4,61974,csp,5769
007,3,1,csm,35b.png,1,1,80,65,-15,83,1,0,NaN,6000,neu_feedback_onset,5,76235,csp,3230
