sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
051,1,2,csp,49b.png,1,0,288,NaN,NaN,288,1,1,626,4153,neg_feedback_onset,1,49241,csm,4500
051,1,2,csp,36b.png,1,1,276,268,-8,275,1,1,271,6000,pos_feedback_onset,2,64771,csp,4153
051,1,2,csm,60a.png,1,1,104,109,5,101,1,1,474,3692,neu_feedback_onset,3,82790,csp,6000
051,1,2,csp,1b.png,1,1,80,113,33,81,1,1,243,5538,pos_feedback_onset,4,98904,csm,3692
051,1,2,csp,63b.png,1,1,52,153,101,53,1,1,460,4615,pos_feedback_onset,5,117323,csp,5538
051,1,2,csp,56b.png,1,1,136,226,90,135,1,1,601,4846,neg_feedback_onset,6,133054,csp,4615
051,1,2,csm,66a.png,1,1,280,285,5,281,1,1,428,4384,neu_feedback_onset,7,149904,csp,4846
051,1,2,csp,47b.png,1,1,68,249,-179,68,1,1,396,5769,pos_feedback_onset,8,165033,csm,4384
051,1,2,csm,19a.png,1,1,188,23,-165,9,1,1,328,3461,neu_feedback_onset,9,183085,csp,5769
051,1,2,csm,14a.png,1,1,176,152,-24,177,1,1,293,5076,neu_feedback_onset,10,199951,csm,3461
051,1,2,csm,25a.png,1,1,228,132,-96,229,1,1,408,3923,neu_feedback_onset,11,216567,csm,5076
051,1,2,csp,40b.png,1,1,64,290,-134,65,1,1,207,3000,pos_feedback_onset,12,232882,csm,3923
051,1,2,csm,42a.png,1,1,184,230,46,183,1,1,513,5307,neu_feedback_onset,13,248830,csp,3000
051,1,2,csm,18a.png,1,1,292,294,2,NaN,0,1,491,3230,neu_feedback_onset,14,NaN,csm,5307
051,2,2,csp,33b.png,1,1,300,131,-169,301,1,1,255,3692,pos_feedback_onset,1,14803,csm,4500
051,2,2,csp,2b.png,1,1,152,307,155,152,1,1,220,5538,pos_feedback_onset,2,31335,csp,3692
051,2,2,csm,37a.png,1,1,24,321,-63,23,1,1,259,4846,neu_feedback_onset,3,49587,csp,5538
051,2,2,csp,14b.png,1,1,204,209,5,206,1,1,277,5769,pos_feedback_onset,4,68074,csm,4846
051,2,2,csm,55a.png,1,1,40,247,-153,40,1,1,277,5307,neu_feedback_onset,5,85992,csp,5769
051,2,2,csm,1a.png,1,1,232,149,-83,231,1,1,383,4615,neu_feedback_onset,6,102791,csm,5307
051,2,2,csp,43b.png,1,1,260,224,-36,257,1,1,292,6000,pos_feedback_onset,7,118772,csm,4615
051,2,2,csp,11b.png,1,0,116,NaN,NaN,117,1,1,296,4384,pos_feedback_onset,8,136557,csp,6000
051,2,2,csm,35a.png,1,1,168,38,-130,168,1,1,350,3000,neu_feedback_onset,9,153573,csp,4384
051,2,2,csp,44b.png,1,1,28,34,6,29,1,1,311,3923,pos_feedback_onset,10,167751,csm,3000
051,2,2,csm,59a.png,1,1,92,151,59,94,1,1,330,4153,neu_feedback_onset,11,183365,csp,3923
051,2,2,csp,7b.png,1,1,44,224,-180,44,1,1,272,3461,pos_feedback_onset,12,200315,csm,4153
051,2,2,csm,56a.png,1,1,212,231,19,211,1,1,516,5076,neu_feedback_onset,13,216212,csp,3461
051,2,2,csm,38a.png,1,1,48,121,73,49,1,1,380,3230,neu_feedback_onset,14,233646,csm,5076
051,3,2,csm,62a.png,1,1,196,232,36,196,1,1,435,4846,neu_feedback_onset,1,12071,csm,4500
051,3,2,csp,35b.png,1,1,272,271,-1,271,1,1,342,4153,pos_feedback_onset,2,29873,csm,4846
051,3,2,csp,3b.png,1,1,32,359,-33,32,1,1,446,3000,pos_feedback_onset,3,47174,csp,4153
051,3,2,csm,12a.png,1,1,344,312,-32,345,1,1,471,3692,neu_feedback_onset,4,62169,csp,3000
051,3,2,csp,5b.png,1,1,328,300,-28,327,1,1,351,5076,pos_feedback_onset,5,78150,csm,3692
051,3,2,csp,45b.png,1,1,144,208,64,145,1,1,319,6000,pos_feedback_onset,6,95517,csp,5076
051,3,2,csm,17a.png,1,1,108,117,9,108,1,1,433,5307,neu_feedback_onset,7,113536,csp,6000
051,3,2,csm,43a.png,1,1,268,144,-124,268,1,1,801,3461,neu_feedback_onset,8,132189,csm,5307
051,3,2,csp,29b.png,1,1,252,207,-45,250,1,1,396,4615,pos_feedback_onset,9,147368,csm,3461
051,3,2,csm,36a.png,1,1,296,305,9,297,1,1,438,5769,neu_feedback_onset,10,164736,csp,4615
051,3,2,csm,31a.png,1,1,20,27,7,20,1,1,452,5538,neu_feedback_onset,11,181702,csm,5769
051,3,2,csp,60b.png,1,1,192,206,14,193,1,1,380,4384,pos_feedback_onset,12,199837,csm,5538
051,3,2,csm,26a.png,1,1,0,151,151,1,1,1,552,3923,neu_feedback_onset,13,215735,csp,4384
051,3,2,csp,4b.png,1,1,316,301,-15,316,1,1,374,3230,pos_feedback_onset,14,232317,csm,3923
051,4,2,csm,11a.png,1,1,76,37,-39,76,1,1,475,3461,neu_feedback_onset,1,15491,csm,4500
051,4,2,csp,52b.png,1,1,236,271,35,235,1,1,376,3923,pos_feedback_onset,2,30537,csm,3461
051,4,2,csm,6a.png,1,1,164,153,-11,163,1,1,498,3000,neu_feedback_onset,3,46217,csp,3923
051,4,2,csp,26b.png,1,1,12,21,9,12,1,1,331,4384,pos_feedback_onset,4,60946,csm,3000
051,4,2,csm,51a.png,1,0,132,NaN,NaN,131,1,1,480,4153,neu_feedback_onset,5,77679,csp,4384
051,4,2,csm,57a.png,1,1,8,310,-58,7,1,1,448,5538,neu_feedback_onset,6,93610,csm,4153
051,4,2,csm,2a.png,1,1,304,307,3,304,1,1,469,6000,neu_feedback_onset,7,111160,csm,5538
051,4,2,csp,18b.png,1,1,208,226,18,208,1,1,428,4615,pos_feedback_onset,8,129997,csm,6000
051,4,2,csp,30b.png,1,1,284,221,-63,283,1,1,365,3692,pos_feedback_onset,9,147448,csp,4615
051,4,2,csm,16a.png,1,1,240,26,146,240,1,1,420,5307,neu_feedback_onset,10,164448,csp,3692
051,4,2,csp,64b.png,1,1,96,113,17,96,1,1,331,5769,pos_feedback_onset,11,181514,csm,5307
051,4,2,csm,39a.png,1,1,172,229,57,173,1,1,440,3230,neu_feedback_onset,12,199616,csp,5769
051,4,2,csp,31b.png,1,1,220,221,1,218,1,1,417,5076,neg_feedback_onset,13,214762,csm,3230
051,4,2,csp,20b.png,1,1,200,151,-49,199,1,1,299,4846,pos_feedback_onset,14,233065,csp,5076
051,5,2,csp,46b.png,1,1,336,267,-69,338,1,1,356,5538,pos_feedback_onset,1,15515,csm,4500
051,5,2,csm,30a.png,1,1,148,155,7,146,1,1,322,3461,neu_feedback_onset,2,32131,csp,5538
051,5,2,csp,15b.png,1,1,356,36,40,356,1,1,425,3692,pos_feedback_onset,3,46977,csm,3461
051,5,2,csm,3a.png,1,1,100,90,-10,102,1,1,289,4846,neu_feedback_onset,4,61705,csp,3692
051,5,2,csp,9b.png,1,1,124,229,105,125,1,1,476,5769,neg_feedback_onset,5,79557,csm,4846
051,5,2,csm,44a.png,1,1,128,128,0,128,1,1,460,3923,neu_feedback_onset,6,96908,csp,5769
051,5,2,csm,54a.png,1,1,324,144,180,324,1,1,449,5076,neu_feedback_onset,7,112571,csm,3923
051,5,2,csp,28b.png,1,1,120,139,19,117,1,1,356,6000,pos_feedback_onset,8,130239,csm,5076
051,5,2,csm,46a.png,1,1,308,308,0,308,1,1,410,5307,neu_feedback_onset,9,149026,csp,6000
051,5,2,csp,8b.png,1,1,348,359,11,348,1,1,357,4384,pos_feedback_onset,10,166009,csm,5307
051,5,2,csp,48b.png,1,1,36,40,4,36,1,1,345,4615,pos_feedback_onset,11,182124,csp,4384
051,5,2,csm,33a.png,1,1,60,295,-125,60,1,1,393,3230,neu_feedback_onset,12,198823,csp,4615
051,5,2,csm,61a.png,1,1,156,172,16,156,1,1,424,3000,neu_feedback_onset,13,214269,csm,3230
051,5,2,csp,65b.png,1,1,264,223,-41,262,1,1,425,4153,pos_feedback_onset,14,230017,csm,3000
051,6,2,csm,24a.png,1,1,320,305,-15,322,1,1,311,5076,neu_feedback_onset,1,11826,csm,4500
051,6,2,csp,6b.png,1,1,56,55,-1,58,1,1,367,4384,pos_feedback_onset,2,28776,csm,5076
051,6,2,csm,52a.png,1,1,72,153,81,74,1,1,279,3692,neu_feedback_onset,3,45158,csp,4384
051,6,2,csp,42b.png,1,1,332,318,-14,331,1,1,303,4846,pos_feedback_onset,4,61590,csm,3692
051,6,2,csm,5a.png,1,1,180,176,-4,179,1,1,428,3461,neu_feedback_onset,5,78473,csp,4846
051,6,2,csp,55b.png,1,1,88,92,4,88,1,1,656,3923,neg_feedback_onset,6,94488,csm,3461
051,6,2,csm,21a.png,1,0,340,103,123,339,1,1,320,4153,neu_feedback_onset,7,111738,csp,3923
051,6,2,csm,45a.png,1,1,352,248,-104,351,1,1,489,5538,neu_feedback_onset,8,128687,csm,4153
051,6,2,csp,24b.png,1,1,140,119,-21,137,1,1,536,5307,neg_feedback_onset,9,145470,csm,5538
051,6,2,csp,16b.png,1,1,224,228,4,224,1,1,445,5769,pos_feedback_onset,10,162453,csp,5307
051,6,2,csm,13a.png,1,1,248,224,-24,249,1,1,429,3000,neu_feedback_onset,11,179938,csp,5769
051,6,2,csp,38b.png,1,1,4,140,136,4,1,1,329,3230,pos_feedback_onset,12,194616,csm,3000
051,6,2,csp,57b.png,1,1,216,192,-24,215,1,1,340,6000,pos_feedback_onset,13,208777,csp,3230
051,6,2,csm,10a.png,1,1,112,281,169,110,1,1,370,4615,neu_feedback_onset,14,226144,csp,6000
