sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
004,1,1,csp,53a.png,1,1,300,312,12,296,1,1,571,3000,neg_feedback_onset,1,150359,csm,4500
004,1,1,csp,44a.png,1,1,352,356,4,356,1,1,574,3692,neg_feedback_onset,2,167275,csp,3000
004,1,1,csp,10a.png,1,1,100,131,31,97,1,0,NaN,3923,neg_feedback_onset,3,183523,csp,3692
004,1,1,csp,41a.png,1,1,336,151,175,338,1,1,496,4384,pos_feedback_onset,4,199270,csp,3923
004,1,1,csm,7b.png,1,1,56,232,176,53,1,0,NaN,5769,neu_feedback_onset,5,215820,csp,4384
004,1,1,csp,65a.png,1,1,264,45,141,271,1,1,327,4153,pos_feedback_onset,6,233855,csm,5769
004,1,1,csp,35a.png,1,1,108,136,28,108,1,0,344,3230,neg_feedback_onset,7,250420,csp,4153
004,1,1,csm,32b.png,1,1,356,37,41,2,1,1,646,4615,neu_feedback_onset,8,265650,csp,3230
004,1,1,csm,49b.png,1,1,296,310,14,300,1,1,606,6000,neu_feedback_onset,9,281213,csm,4615
004,1,1,csm,22b.png,1,1,276,304,28,279,1,1,982,5538,neu_feedback_onset,10,300417,csm,6000
004,1,1,csm,34b.png,1,1,72,52,-20,64,1,1,656,5076,neu_feedback_onset,11,319571,csm,5538
004,1,1,csm,64b.png,1,1,132,227,95,128,1,1,741,5307,neu_feedback_onset,12,336538,csm,5076
004,1,1,csp,45a.png,1,1,280,63,143,284,1,1,571,3461,pos_feedback_onset,13,353237,csm,5307
004,1,1,csm,52b.png,1,1,124,46,-78,125,1,1,718,4846,neu_feedback_onset,14,368951,csp,3461
004,2,1,csp,12a.png,1,0,188,183,-5,180,1,1,775,3692,neg_feedback_onset,1,14120,csm,4500
004,2,1,csp,31a.png,1,1,0,136,136,178,0,0,NaN,5769,neg_feedback_onset,2,30152,csp,3692
004,2,1,csp,19a.png,1,1,312,308,-4,309,1,1,552,3923,neg_feedback_onset,3,48136,csp,5769
004,2,1,csm,26b.png,1,1,316,289,-27,315,1,1,569,3230,neu_feedback_onset,4,64284,csp,3923
004,2,1,csm,8b.png,1,1,116,127,11,108,1,1,781,4615,neu_feedback_onset,5,78596,csm,3230
004,2,1,csm,17b.png,1,1,332,321,-11,329,1,1,557,4846,neu_feedback_onset,6,95946,csm,4615
004,2,1,csm,57b.png,1,1,228,304,76,221,1,1,977,3000,neu_feedback_onset,7,114132,csm,4846
004,2,1,csp,9a.png,1,0,236,290,54,238,1,1,506,5307,pos_feedback_onset,8,129044,csm,3000
004,2,1,csm,11b.png,1,1,212,262,50,216,1,1,642,3461,neu_feedback_onset,9,146110,csp,5307
004,2,1,csm,62b.png,1,1,232,217,-15,233,1,1,744,4153,neu_feedback_onset,10,163311,csm,3461
004,2,1,csp,26a.png,1,1,220,36,176,223,1,1,533,5076,pos_feedback_onset,11,179175,csm,4153
004,2,1,csp,64a.png,1,1,176,116,-60,176,1,1,470,5538,pos_feedback_onset,12,195540,csp,5076
004,2,1,csm,59b.png,1,1,96,97,1,95,1,1,769,6000,neu_feedback_onset,13,213174,csp,5538
004,2,1,csp,22a.png,1,1,348,341,-7,345,1,1,689,4384,neg_feedback_onset,14,230107,csm,6000
004,3,1,csm,43b.png,1,1,64,44,-20,60,1,1,713,5538,neu_feedback_onset,1,14914,csm,4500
004,3,1,csm,60b.png,1,1,244,228,-16,254,1,1,643,3000,neu_feedback_onset,2,32866,csm,5538
004,3,1,csp,3a.png,1,1,180,183,3,NaN,0,1,582,5769,neg_feedback_onset,3,NaN,csm,3000
004,3,1,csm,31b.png,1,1,292,305,13,289,1,1,607,3692,neu_feedback_onset,4,66615,csp,5769
004,3,1,csm,6b.png,1,0,8,48,40,11,1,1,616,6000,neu_feedback_onset,5,82562,csm,3692
004,3,1,csm,50b.png,1,1,288,311,23,290,1,1,540,3461,neu_feedback_onset,6,100063,csm,6000
004,3,1,csp,47a.png,1,1,168,324,156,164,1,1,462,4615,pos_feedback_onset,7,115476,csm,3461
004,3,1,csp,1a.png,1,1,172,170,-2,NaN,0,1,592,4846,neg_feedback_onset,8,NaN,csp,4615
004,3,1,csp,48a.png,1,1,196,47,-149,192,1,1,775,5076,neg_feedback_onset,9,150662,csp,4846
004,3,1,csp,11a.png,1,1,40,44,4,35,1,1,664,4384,neg_feedback_onset,10,167344,csp,5076
004,3,1,csm,63b.png,1,1,52,48,-4,56,1,1,528,5307,neu_feedback_onset,11,183626,csp,4384
004,3,1,csp,28a.png,1,1,328,196,-132,325,1,1,570,4153,pos_feedback_onset,12,201126,csm,5307
004,3,1,csm,65b.png,1,1,20,327,-53,18,1,1,572,3923,neu_feedback_onset,13,216907,csp,4153
004,3,1,csp,66a.png,1,1,36,42,6,28,1,1,407,3230,pos_feedback_onset,14,233322,csm,3923
004,4,1,csp,59a.png,1,0,32,2,-30,36,1,0,NaN,5538,neg_feedback_onset,1,11864,csm,4500
004,4,1,csp,13a.png,1,1,28,318,-70,30,1,1,660,5307,neg_feedback_onset,2,28680,csp,5538
004,4,1,csm,12b.png,1,1,240,123,-117,245,1,1,924,5769,neu_feedback_onset,3,46081,csp,5307
004,4,1,csm,19b.png,1,1,156,78,-78,154,1,1,624,5076,neu_feedback_onset,4,63465,csm,5769
004,4,1,csm,39b.png,1,0,252,238,-14,250,1,1,546,3230,neu_feedback_onset,5,80849,csm,5076
004,4,1,csm,10b.png,1,1,88,77,-11,84,1,1,579,6000,neu_feedback_onset,6,96796,csm,3230
004,4,1,csm,29b.png,1,1,148,132,-16,146,1,1,560,4846,neu_feedback_onset,7,115967,csm,6000
004,4,1,csp,39a.png,1,1,184,200,16,191,1,1,591,3000,neg_feedback_onset,8,132532,csm,4846
004,4,1,csp,37a.png,1,1,164,352,-172,162,1,1,697,4384,neg_feedback_onset,9,149315,csp,3000
004,4,1,csm,56b.png,1,1,192,292,100,193,1,1,694,3923,neu_feedback_onset,10,165614,csp,4384
004,4,1,csp,33a.png,1,1,324,316,-8,324,1,1,649,3692,neg_feedback_onset,11,180609,csm,3923
004,4,1,csp,54a.png,1,0,216,351,135,216,1,1,542,3461,pos_feedback_onset,12,198344,csp,3692
004,4,1,csm,51b.png,1,1,272,270,-2,271,1,1,703,4615,neu_feedback_onset,13,214041,csp,3461
004,4,1,csp,16a.png,1,1,260,266,6,259,1,1,587,4153,pos_feedback_onset,14,230523,csm,4615
004,5,1,csp,8a.png,1,1,60,38,-22,59,1,1,466,4615,pos_feedback_onset,1,10239,csm,4500
004,5,1,csm,54b.png,1,1,76,75,-1,75,1,1,635,4846,neu_feedback_onset,2,26921,csp,4615
004,5,1,csm,48b.png,1,1,256,101,-155,266,1,1,488,5307,neu_feedback_onset,3,45257,csm,4846
004,5,1,csp,43a.png,1,1,204,146,-58,206,1,1,502,4153,neg_feedback_onset,4,61539,csm,5307
004,5,1,csm,37b.png,1,1,268,219,-49,271,1,1,597,3230,neu_feedback_onset,5,77169,csp,4153
004,5,1,csp,32a.png,1,1,320,310,-10,316,1,1,474,5769,pos_feedback_onset,6,92148,csm,3230
004,5,1,csm,3b.png,1,1,344,319,-25,341,1,1,660,3461,neu_feedback_onset,7,111853,csp,5769
004,5,1,csm,66b.png,1,1,104,261,157,NaN,0,1,687,3692,neu_feedback_onset,8,NaN,csm,3461
004,5,1,csp,15a.png,1,1,152,138,-14,154,1,1,564,3923,neg_feedback_onset,9,145552,csm,3692
004,5,1,csp,61a.png,1,1,136,139,3,135,1,1,481,3000,pos_feedback_onset,10,161684,csp,3923
004,5,1,csm,33b.png,1,1,248,251,3,240,1,1,729,4384,neu_feedback_onset,11,175744,csp,3000
004,5,1,csp,36a.png,1,1,16,18,2,13,1,1,527,5076,pos_feedback_onset,12,192460,csm,4384
004,5,1,csm,14b.png,1,1,224,52,-172,227,1,1,489,5538,neu_feedback_onset,13,208608,csp,5076
004,5,1,csp,49a.png,1,1,340,332,-8,342,1,1,558,6000,pos_feedback_onset,14,225792,csm,5538
004,6,1,csp,57a.png,1,1,92,95,3,91,1,1,599,4153,neg_feedback_onset,1,13399,csm,4500
004,6,1,csm,9b.png,1,1,80,72,-8,82,1,1,590,4384,neu_feedback_onset,2,29563,csp,4153
004,6,1,csp,4a.png,1,1,44,57,13,50,1,1,478,5307,pos_feedback_onset,3,45945,csm,4384
004,6,1,csm,1b.png,1,1,48,66,18,52,1,1,622,4615,neu_feedback_onset,4,64181,csp,5307
004,6,1,csm,40b.png,1,1,128,216,88,129,1,1,673,3923,neu_feedback_onset,5,80462,csm,4615
004,6,1,csp,17a.png,1,1,24,27,3,28,1,1,531,5769,pos_feedback_onset,6,95492,csm,3923
004,6,1,csm,23b.png,1,1,140,141,1,135,1,1,620,5538,neu_feedback_onset,7,114445,csp,5769
004,6,1,csm,36b.png,1,1,144,146,2,145,1,1,465,5076,neu_feedback_onset,8,134417,csm,5538
004,6,1,csp,14a.png,1,1,200,205,5,198,1,1,485,3230,pos_feedback_onset,9,152837,csm,5076
004,6,1,csp,63a.png,1,1,4,19,15,2,1,1,507,3461,pos_feedback_onset,10,166914,csp,3230
