sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
042,1,2,csp,21b.png,1,1,44,42,-2,42,1,1,215,3923,pos_feedback_onset,1,27734,csm,4500
042,1,2,csp,26b.png,1,1,36,23,-13,39,1,1,243,5769,pos_feedback_onset,2,42512,csp,3923
042,1,2,csp,22b.png,1,1,20,6,-14,18,1,1,348,4615,pos_feedback_onset,3,60230,csp,5769
042,1,2,csm,32a.png,1,1,72,63,-9,74,1,1,234,4384,neu_feedback_onset,4,76679,csp,4615
042,1,2,csm,40a.png,1,1,40,50,10,33,1,1,327,3692,neu_feedback_onset,5,93495,csm,4384
042,1,2,csm,50a.png,1,1,248,247,-1,244,1,1,498,3461,neu_feedback_onset,6,109576,csm,3692
042,1,2,csp,24b.png,1,1,88,241,153,87,1,1,411,3230,pos_feedback_onset,7,125574,csm,3461
042,1,2,csm,10a.png,1,1,68,66,-2,65,1,1,340,3000,neu_feedback_onset,8,140420,csp,3230
042,1,2,csm,17a.png,1,1,80,88,8,83,1,1,359,4846,neu_feedback_onset,9,154229,csm,3000
042,1,2,csp,60b.png,1,1,236,233,-3,231,1,1,377,6000,pos_feedback_onset,10,170394,csm,4846
042,1,2,csm,58a.png,1,1,288,295,7,288,1,1,434,5076,neu_feedback_onset,11,188206,csp,6000
042,1,2,csp,47b.png,1,1,240,239,-1,236,1,1,469,4153,neg_feedback_onset,12,205429,csm,5076
042,1,2,csp,14b.png,1,1,140,139,-1,143,1,1,354,5538,pos_feedback_onset,13,220876,csp,4153
042,1,2,csm,25a.png,1,1,324,292,-32,328,1,1,393,5307,neu_feedback_onset,14,238678,csp,5538
042,2,2,csm,60a.png,1,1,104,114,10,93,1,1,334,4615,neu_feedback_onset,1,10446,csm,4500
042,2,2,csm,22a.png,1,1,316,316,0,317,1,1,408,6000,neu_feedback_onset,2,26410,csm,4615
042,2,2,csp,4b.png,1,1,112,121,9,106,1,1,329,3692,pos_feedback_onset,3,43226,csm,6000
042,2,2,csp,40b.png,1,1,32,39,7,31,1,0,376,5076,neg_feedback_onset,4,59608,csp,3692
042,2,2,csp,62b.png,1,1,200,19,179,198,1,0,324,4384,neg_feedback_onset,5,76942,csp,5076
042,2,2,csm,7a.png,1,1,340,340,0,343,1,1,479,5769,neu_feedback_onset,6,93859,csp,4384
042,2,2,csm,63a.png,1,1,264,261,-3,259,1,1,422,4153,neu_feedback_onset,7,111593,csm,5769
