sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
034,2,2,csm,17a.png,1,0,52,NaN,NaN,NaN,0,0,304,3923,neu_feedback_onset,1,NaN,csm,4500
034,2,2,csp,40b.png,1,1,192,180,-12,191,1,1,335,3692,pos_feedback_onset,2,30375,csm,3923
034,2,2,csp,36b.png,1,1,124,230,106,124,1,1,578,3000,neg_feedback_onset,3,46206,csp,3692
034,2,2,csp,37b.png,1,1,244,175,-69,243,1,1,260,6000,pos_feedback_onset,4,61336,csp,3000
034,2,2,csp,64b.png,1,1,272,202,-70,272,1,1,318,4153,pos_feedback_onset,5,80239,csp,6000
034,2,2,csp,54b.png,1,1,140,177,37,141,1,1,230,4384,pos_feedback_onset,6,97139,csp,4153
034,2,2,csm,45a.png,1,1,264,NaN,NaN,NaN,0,1,262,5076,neu_feedback_onset,7,NaN,csp,4384
034,2,2,csm,1a.png,1,1,88,238,150,88,1,1,320,3461,neu_feedback_onset,8,132742,csm,5076
034,2,2,csp,48b.png,1,1,164,179,15,164,1,0,204,5538,neg_feedback_onset,9,149374,csm,3461
034,2,2,csm,66a.png,1,1,240,242,2,240,1,1,269,4846,neu_feedback_onset,10,168978,csp,5538
034,2,2,csm,48a.png,1,0,44,NaN,NaN,45,1,1,508,3230,neu_feedback_onset,11,187080,csm,4846
034,2,2,csm,4a.png,1,1,224,20,156,225,1,0,313,5307,neu_feedback_onset,12,203663,csm,3230
034,2,2,csm,63a.png,1,1,196,209,13,197,1,1,276,5769,neu_feedback_onset,13,220863,csm,5307
034,2,2,csp,25b.png,1,0,280,NaN,NaN,280,1,1,325,4615,pos_feedback_onset,14,240501,csm,5769
034,3,2,csp,46b.png,1,1,136,40,-96,NaN,0,1,369,5538,neg_feedback_onset,1,NaN,csm,4500
034,3,2,csm,29a.png,1,1,344,238,-106,345,1,1,268,5076,neu_feedback_onset,2,29933,csp,5538
