sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
038,1,2,csp,55b.png,1,1,236,231,-5,237,1,1,532,3230,neg_feedback_onset,1,74194,csm,4500
038,1,2,csm,40a.png,1,1,72,40,-32,72,1,1,405,4384,neu_feedback_onset,2,91411,csp,3230
038,1,2,csm,3a.png,1,1,320,297,-23,319,1,1,442,5076,neu_feedback_onset,3,108611,csm,4384
038,1,2,csm,34a.png,1,1,308,234,-74,308,1,1,462,4615,neu_feedback_onset,4,124926,csm,5076
038,1,2,csp,9b.png,1,1,20,25,5,20,1,0,294,4846,neg_feedback_onset,5,141491,csm,4615
038,1,2,csm,6a.png,1,1,124,230,106,125,1,1,757,6000,neu_feedback_onset,6,159059,csp,4846
038,1,2,csp,43b.png,1,1,284,124,-160,283,1,1,296,5769,pos_feedback_onset,7,178263,csm,6000
038,1,2,csp,15b.png,1,1,152,122,-30,153,1,1,369,3461,pos_feedback_onset,8,198302,csp,5769
038,1,2,csm,59a.png,1,1,16,243,-133,17,1,1,426,3923,neu_feedback_onset,9,214617,csp,3461
038,1,2,csp,49b.png,1,0,76,52,-24,NaN,0,1,259,4153,neg_feedback_onset,10,NaN,csm,3923
038,1,2,csp,40b.png,1,1,28,25,-3,NaN,0,1,467,3692,neg_feedback_onset,11,NaN,csp,4153
038,1,2,csm,12a.png,1,1,276,234,-42,NaN,0,1,377,5538,neu_feedback_onset,12,NaN,csp,3692
038,1,2,csp,61b.png,1,1,172,146,-26,NaN,0,1,363,3000,neg_feedback_onset,13,NaN,csm,5538
038,1,2,csm,65a.png,1,1,220,302,82,219,1,1,434,5307,neu_feedback_onset,14,302889,csp,3000
038,2,2,csp,22b.png,1,1,188,230,42,NaN,0,1,435,4846,neg_feedback_onset,1,NaN,csm,4500
038,2,2,csm,10a.png,1,1,292,51,119,291,1,1,327,3461,neu_feedback_onset,2,31697,csp,4846
038,2,2,csp,57b.png,1,1,212,234,22,212,1,1,269,4153,pos_feedback_onset,3,47378,csm,3461
038,2,2,csp,8b.png,1,1,244,246,2,244,1,1,258,5307,pos_feedback_onset,4,63826,csp,4153
038,2,2,csm,32a.png,1,1,68,30,-38,68,1,1,302,3923,neu_feedback_onset,5,81109,csp,5307
038,2,2,csp,38b.png,1,1,108,53,-55,108,1,1,295,6000,pos_feedback_onset,6,98360,csm,3923
038,2,2,csm,43a.png,1,1,328,312,-16,328,1,1,474,5769,neu_feedback_onset,7,118265,csp,6000
038,2,2,csp,18b.png,1,1,104,119,15,104,1,1,248,3000,pos_feedback_onset,8,136851,csm,5769
038,2,2,csp,7b.png,1,1,352,328,-24,351,1,1,256,5538,pos_feedback_onset,9,153167,csp,3000
038,2,2,csm,55a.png,1,1,260,239,-21,260,1,1,277,5076,neu_feedback_onset,10,170717,csp,5538
038,2,2,csm,17a.png,1,1,44,39,-5,NaN,0,0,262,4615,neu_feedback_onset,11,NaN,csm,5076
038,2,2,csm,56a.png,1,1,228,237,9,226,1,0,557,3230,neu_feedback_onset,12,207940,csm,4615
038,2,2,csm,62a.png,1,1,140,111,-29,139,1,1,346,4384,neu_feedback_onset,13,223904,csm,3230
038,2,2,csp,60b.png,1,1,56,34,-22,55,1,1,266,3692,pos_feedback_onset,14,240987,csm,4384
038,3,2,csp,46b.png,1,1,144,131,-13,146,1,1,246,5538,pos_feedback_onset,1,14066,csm,4500
038,3,2,csm,44a.png,1,1,256,254,-2,256,1,1,432,4384,neu_feedback_onset,2,31750,csp,5538
038,3,2,csp,11b.png,1,1,148,38,-110,148,1,0,251,4846,neg_feedback_onset,3,49485,csm,4384
038,3,2,csm,37a.png,1,1,280,307,27,280,1,1,528,3461,neu_feedback_onset,4,68355,csp,4846
038,3,2,csm,49a.png,1,1,52,237,-175,52,1,1,368,5076,neu_feedback_onset,5,83668,csm,3461
038,3,2,csp,28b.png,1,1,112,124,12,112,1,0,303,4153,neg_feedback_onset,6,102472,csm,5076
038,3,2,csp,63b.png,1,1,8,321,-47,7,1,1,299,3230,pos_feedback_onset,7,118419,csp,4153
038,3,2,csm,50a.png,1,1,184,244,60,184,1,1,436,3692,neu_feedback_onset,8,134684,csp,3230
038,3,2,csp,24b.png,1,1,160,135,-25,159,1,1,403,3000,pos_feedback_onset,9,151801,csm,3692
038,3,2,csp,29b.png,1,1,300,318,18,NaN,0,1,245,5307,neg_feedback_onset,10,NaN,csp,3000
038,3,2,csm,7a.png,1,1,200,316,116,202,1,1,460,4615,neu_feedback_onset,11,186518,csp,5307
038,3,2,csm,11a.png,1,1,264,291,27,263,1,1,348,5769,neu_feedback_onset,12,204670,csm,4615
038,3,2,csp,66b.png,1,0,336,110,134,336,1,1,283,6000,pos_feedback_onset,13,222506,csm,5769
038,3,2,csm,8a.png,1,1,304,309,5,305,1,1,303,3923,neu_feedback_onset,14,241292,csp,6000
038,4,2,csm,51a.png,1,1,24,230,-154,24,1,1,599,3230,neu_feedback_onset,1,12851,csm,4500
038,4,2,csp,6b.png,1,1,60,101,41,61,1,1,284,5538,pos_feedback_onset,2,28315,csm,3230
038,4,2,csm,28a.png,1,1,12,32,20,11,1,1,387,3461,neu_feedback_onset,3,46834,csp,5538
038,4,2,csm,42a.png,1,1,96,127,31,97,1,1,489,4615,neu_feedback_onset,4,63399,csm,3461
038,4,2,csm,2a.png,1,1,348,297,-51,349,1,1,346,3923,neu_feedback_onset,5,79998,csm,4615
038,4,2,csm,1a.png,1,1,344,235,-109,344,1,1,441,4846,neu_feedback_onset,6,97166,csm,3923
038,4,2,csp,59b.png,1,1,156,141,-15,157,1,0,332,5769,neg_feedback_onset,7,114231,csm,4846
038,4,2,csp,36b.png,1,1,288,299,11,288,1,1,279,5076,pos_feedback_onset,8,131565,csp,5769
038,4,2,csp,56b.png,1,1,316,315,-1,315,1,1,329,5307,pos_feedback_onset,9,149901,csp,5076
038,4,2,csm,39a.png,1,1,40,118,78,38,1,1,278,6000,neu_feedback_onset,10,168036,csp,5307
038,4,2,csp,2b.png,1,1,268,297,29,267,1,1,395,4153,pos_feedback_onset,11,187925,csm,6000
038,4,2,csp,25b.png,1,1,216,142,-74,216,1,1,321,4384,pos_feedback_onset,12,204156,csp,4153
038,4,2,csp,1b.png,1,1,32,50,18,32,1,1,292,3000,pos_feedback_onset,13,220505,csp,4384
038,4,2,csm,63a.png,1,1,312,123,171,312,1,1,353,3692,neu_feedback_onset,14,235417,csp,3000
