sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
057,1,2,csm,57a.png,1,1,8,225,-143,7,1,1,564,4615,neu_feedback_onset,1,32410,csm,4500
057,1,2,csm,49a.png,1,1,16,190,174,13,1,0,243,5307,neu_feedback_onset,2,50228,csm,4615
057,1,2,csp,10b.png,1,1,88,134,46,81,1,1,373,3230,pos_feedback_onset,3,67578,csm,5307
057,1,2,csm,3a.png,1,1,196,211,15,198,1,1,530,4846,neu_feedback_onset,4,83342,csp,3230
057,1,2,csp,13b.png,1,1,32,300,-92,28,1,1,355,3461,pos_feedback_onset,5,99691,csm,4846
057,1,2,csp,12b.png,1,1,276,254,-22,276,1,1,365,3692,pos_feedback_onset,6,114453,csp,3461
057,1,2,csp,51b.png,1,1,128,139,11,129,1,1,459,4153,neg_feedback_onset,7,131369,csp,3692
057,1,2,csm,42a.png,1,1,204,207,3,202,1,1,449,3923,neu_feedback_onset,8,148269,csp,4153
057,1,2,csm,23a.png,1,1,104,34,-70,106,1,1,383,5769,neu_feedback_onset,9,165018,csm,3923
057,1,2,csm,20a.png,1,1,284,260,-24,281,1,1,575,4384,neu_feedback_onset,10,183804,csm,5769
057,1,2,csm,41a.png,1,1,296,330,34,293,1,1,522,5076,neu_feedback_onset,11,199852,csm,4384
057,1,2,csp,14b.png,1,1,160,292,132,165,1,1,363,6000,pos_feedback_onset,12,216351,csm,5076
057,1,2,csp,24b.png,1,1,304,302,-2,301,1,1,603,5538,neg_feedback_onset,13,234887,csp,6000
057,1,2,csp,50b.png,1,1,336,271,-65,335,1,1,310,3000,pos_feedback_onset,14,252003,csp,5538
057,2,2,csm,51a.png,1,1,148,80,-68,142,1,1,420,4615,neu_feedback_onset,1,14197,csm,4500
057,2,2,csp,58b.png,1,1,352,232,-120,341,1,1,455,4153,pos_feedback_onset,2,31597,csm,4615
057,2,2,csm,40a.png,1,1,344,220,-124,341,1,1,557,5307,neu_feedback_onset,3,47778,csp,4153
057,2,2,csp,43b.png,1,1,164,176,12,164,1,1,339,3923,pos_feedback_onset,4,64611,csm,5307
057,2,2,csm,19a.png,1,1,168,139,-29,165,1,1,408,3461,neu_feedback_onset,5,81511,csp,3923
057,2,2,csp,19b.png,1,1,152,154,2,149,1,1,452,3692,pos_feedback_onset,6,96691,csm,3461
057,2,2,csm,27a.png,1,1,340,127,147,335,1,1,582,5538,neu_feedback_onset,7,112572,csp,3692
057,2,2,csm,46a.png,1,1,236,208,-28,236,1,1,301,4384,neu_feedback_onset,8,130206,csm,5538
057,2,2,csm,59a.png,1,1,140,152,12,142,1,1,528,4846,neu_feedback_onset,9,147272,csm,4384
057,2,2,csp,66b.png,1,1,60,71,11,43,1,1,355,3230,pos_feedback_onset,10,163404,csm,4846
057,2,2,csm,32a.png,1,1,208,214,6,203,1,1,533,5769,neu_feedback_onset,11,178750,csp,3230
057,2,2,csp,37b.png,1,1,212,68,-144,209,1,1,367,5076,pos_feedback_onset,12,195750,csm,5769
057,2,2,csp,1b.png,1,1,112,91,-21,111,1,1,277,3000,pos_feedback_onset,13,213935,csp,5076
057,2,2,csp,41b.png,1,1,180,197,17,183,1,1,429,6000,neg_feedback_onset,14,229549,csp,3000
057,3,2,csm,4a.png,1,1,56,128,72,62,1,1,534,5538,neu_feedback_onset,1,10173,csm,4500
057,3,2,csp,42b.png,1,1,36,178,142,40,1,1,274,4153,pos_feedback_onset,2,27890,csm,5538
057,3,2,csm,64a.png,1,1,248,255,7,241,1,1,524,3461,neu_feedback_onset,3,45308,csp,4153
057,3,2,csp,29b.png,1,1,272,136,-136,266,1,1,353,5769,pos_feedback_onset,4,60905,csm,3461
057,3,2,csp,16b.png,1,1,228,136,-92,231,1,1,333,4615,pos_feedback_onset,5,78956,csp,5769
057,3,2,csm,8a.png,1,1,252,264,12,253,1,1,439,3230,neu_feedback_onset,6,95472,csp,4615
057,3,2,csm,62a.png,1,1,96,135,39,92,1,1,372,5307,neu_feedback_onset,7,110401,csm,3230
057,3,2,csp,35b.png,1,1,260,293,33,258,1,1,318,5076,pos_feedback_onset,8,127384,csm,5307
057,3,2,csm,11a.png,1,1,224,229,5,221,1,1,505,3692,neu_feedback_onset,9,144734,csp,5076
057,3,2,csp,31b.png,1,1,136,307,171,141,1,1,346,3923,pos_feedback_onset,10,161215,csm,3692
057,3,2,csp,6b.png,1,1,108,97,-11,109,1,1,345,3000,pos_feedback_onset,11,178450,csp,3923
057,3,2,csm,10a.png,1,1,332,220,-112,330,1,1,418,6000,neu_feedback_onset,12,193997,csp,3000
057,3,2,csp,54b.png,1,1,84,71,-13,86,1,1,581,4846,neg_feedback_onset,13,212716,csm,6000
057,3,2,csm,66a.png,1,1,116,120,4,117,1,1,527,4384,neu_feedback_onset,14,229716,csp,4846
057,4,2,csp,3b.png,1,1,348,343,-5,343,1,1,341,5076,pos_feedback_onset,1,10254,csm,4500
057,4,2,csm,28a.png,1,1,68,145,77,74,1,1,591,4153,neu_feedback_onset,2,26636,csp,5076
057,4,2,csp,30b.png,1,1,156,214,58,159,1,1,255,3692,pos_feedback_onset,3,42767,csm,4153
057,4,2,csm,18a.png,1,1,264,224,-40,263,1,1,316,6000,neu_feedback_onset,4,58899,csp,3692
057,4,2,csm,25a.png,1,1,240,300,60,238,1,1,544,5538,neu_feedback_onset,5,77385,csm,6000
057,4,2,csp,46b.png,1,1,64,102,38,65,1,1,418,4846,pos_feedback_onset,6,94602,csm,5538
057,4,2,csp,64b.png,1,1,172,177,5,170,1,1,459,3230,neg_feedback_onset,7,112654,csp,4846
057,4,2,csp,21b.png,1,1,80,128,48,82,1,1,502,4384,neg_feedback_onset,8,128167,csp,3230
057,4,2,csm,30a.png,1,1,132,56,-76,137,1,1,423,4615,neu_feedback_onset,9,144816,csp,4384
057,4,2,csp,52b.png,1,1,200,192,-8,195,1,1,386,5307,pos_feedback_onset,10,162100,csm,4615
057,4,2,csm,33a.png,1,1,48,230,-178,42,1,1,509,3923,neu_feedback_onset,11,180452,csp,5307
057,4,2,csm,39a.png,1,1,184,130,-54,185,1,1,451,3461,neu_feedback_onset,12,196784,csm,3923
057,4,2,csp,36b.png,1,1,280,293,13,278,1,1,318,3000,pos_feedback_onset,13,213366,csm,3461
